...1,census_tract_number,total_population,california_county,children_10_percent,pop_11_64_years_percent,elderly_65_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_percent,zip,nearby_city,ces_3_0_score,sb_535_disadvantaged_community,ozone,pm2_5,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score
6981,6059075605,5776,Orange,11.9,75.5,12.6,11.3,67.7,0.8,0.1,16.9,3.3,92705,Santa Ana,7.84,No,0.05,10.79,7.641,530.07,0.07,21156.34499,302.83,6,0,0,0,0,34.19,4.21,31.27,3.53,6.72,3.5,3.6,7.2,3.1,6.6,17.95,1.86
4923,6001436000,4557,Alameda,12.9,74.7,12.4,40.1,36.9,3,0.4,16.5,3.2,94580,San Lorenzo,19.02,No,0.033,8.69794377,9.244,154.94,0,438.1389093,381.47,1.9,17.3,0.095,10,0,27.81,3.43,74.46,4.44,10.82,13.2,6.7,14.2,9.2,16.8,53.56,5.55
1969,6037910101,1684,Los Angeles,19.2,76.3,4.5,74.3,10.5,10.2,0.2,3.3,1.5,93552,Palmdale,39.11,No,0.062,5.76368635,4.968,523.42,256.2,6.378696541,368.08,6,0,2.21,0,0.5,36.63,4.51,65.73,10.34,8.93,39.2,23.2,56,15.4,47.4,83.57,8.67
1012,6013311000,5001,Contra Costa,17.3,75.4,7.3,52.4,11.4,18.4,0.7,13.7,3.5,94565,Pittsburg,48.28,Yes,0.038,7.85958451,18.644,136.89,0,768.2458365,1255.74,14.4,8.5,1,12,1,44.96,5.54,150.18,6.77,14.45,23.6,7.6,49.6,19.6,27.2,84.06,8.72
3433,6001423100,3964,Alameda,9.6,75.3,15.1,16.2,47.8,17.5,0.4,13.3,4.9,94702,Berkeley,27.74,No,0.03,8.69794377,33.688,70.6,0,587.2694294,536.16,13.1,33.5,0.895,10,0,42.77,5.27,94.27,5.42,6.12,7.6,10.1,30.5,2.6,23,50.78,5.27
6352,6067005702,4795,Sacramento,12.4,70,17.6,6.4,85.1,1,0.3,4.2,3,95864,Sacramento,11.67,No,0.051,9.53630303,9.839,804.78,0,199.9254735,916.83,0,15,0.025,7,0,41.12,5.06,46.74,2.69,7.41,3.1,0.8,10.5,7.2,3.7,22.22,2.3
4794,6059042107,4254,Orange,16.2,78.4,5.4,47.4,47.3,0.5,0.3,2.4,2.1,92672,San Clemente,19.68,No,0.048,8.69794377,1.97,315.22,0,912.1402141,1836.51,0,4,0.35,4,2,39.77,4.9,27.09,2.71,6.44,22.7,7.7,49.6,5.9,28.7,38.73,4.02
1354,6037534002,4352,Los Angeles,16.7,75.6,7.7,91.4,5.7,1.5,0.3,0.9,0.3,90201,Bell,44.88,Yes,0.046,12.05,25.928,606.27,0,8033.966018,782.18,45.85,17.5,0.145,7,5.1,64.21,7.91,34.13,4.65,7.1,51.9,17.2,50.2,11.6,16.7,54.72,5.67
220,6031001100,6613,Kings,20.4,71.6,8,72.8,13.2,9.2,0.8,2.1,2,93230,Hanford,62.11,Yes,0.062,17.08,14.291,548.58,87.78,118.9653118,262.39,7,112.5,0.1,0,18.5,57.67,7.1,138.1,6.35,9.47,49.6,20.2,73.2,20.6,19.7,84.32,8.74
3182,6037103300,3819,Los Angeles,9.3,75.5,15.2,19.5,71,0.9,0.3,5.8,2.5,91040,Sunland,29.67,No,0.055,11.63,17.854,618.05,0,917.3772054,988.84,2.4,0.3,0.195,0,6.4,49.09,6.05,49.5,6.02,10.81,6.1,0,25,5.9,15.2,47.31,4.91
1782,6037408623,3023,Los Angeles,9,74.4,16.6,32.8,13.1,2.6,0.2,48.8,2.4,91745,Hacienda Heights,40.72,Yes,0.05,12.05,20.74,271.22,0,9943.471094,2555.66,12.25,20.05,0.195,1,1.25,57.39,7.07,43.51,5.49,9.24,16,22.4,29.2,9.2,12.4,55.55,5.76
1164,6071006203,4771,San Bernardino,22.9,70,7.1,53,16.5,24.7,0.5,2.7,2.6,92404,San Bernardino,46.69,Yes,0.068,12.05,15.52,620.97,0,765.253181,1205.22,0,0,0,0,0,41.1,5.06,119.48,6.78,14.82,31.5,8,74.8,31.1,34.4,88.93,9.22
2627,6073020018,7708,San Diego,18,76.4,5.6,70.1,22.6,1.8,0.2,3.9,1.4,92078,San Marcos,33.58,No,0.046,9.95548266,20.82,204.2,9.97,165.4122683,1394.42,5.95,32,0.365,7,6.75,56.7,6.98,15.34,6.21,3.81,34.8,30,52.9,3.5,20.4,46.37,4.81
3759,6107001800,4689,Tulare,15.4,71.2,13.4,38.9,53.9,2.3,0.7,1.7,2.5,93277,Visalia,25.71,No,0.06,17.08,17.748,472.98,0,616.5398216,595.32,44.2,5.8,0.02,1,0.3,47.32,5.83,55.19,3.77,8.17,15.8,3.9,30.9,9.1,11.2,42.53,4.41
6735,6001450606,5733,Alameda,11.5,78.1,10.4,6.3,66.5,1.1,0.2,22.2,3.8,94566,Pleasanton,9.3,No,0.038,8.69794377,19.458,160.48,0,167.135666,1113.91,3.5,0.75,0.15,2,0,30.4,3.74,27.71,4.13,7.61,3.6,3.2,4.4,8,6.7,23.94,2.48
492,6037534406,4609,Los Angeles,19.1,76.1,4.8,97.5,1.3,0.5,0.2,0.2,0.3,90201,Bell,55.68,Yes,0.046,12.05,22.494,455.6,0,8683.568326,2122.15,26.9,4.3,0.13,7,0.2,57.73,7.11,48.15,5.11,10.08,60.7,32.3,70.2,14.3,25.7,75.51,7.83
956,6037109500,4303,Los Angeles,15.2,74.9,9.9,92.6,3.1,0.9,0.1,2.4,0.8,91340,San Fernando,48.84,Yes,0.057,11.21,24.19,671.96,0,592.8914164,1713.93,22,10.5,0.4,0,3.8,60.41,7.44,61.07,6.61,4.97,37,19.2,45.5,7.1,29.3,63.3,6.56
249,6037199000,5066,Los Angeles,14.7,75.3,10,61.2,2.6,0.8,0.1,34.8,0.5,90031,Los Angeles,61.19,Yes,0.046,12.89,29.797,570.14,0,4446.100608,2067.93,55.1,22.6,1.825,8,7.5,72.12,8.88,49.93,6.13,6.29,46.4,25.2,64.5,7.8,29.1,66.43,6.89
4310,6073010106,5200,San Diego,13.1,76.4,10.5,86.9,6.7,1.5,0.1,3.9,1,92154,San Diego,22.4,No,0.038,13.31,10.52,155.94,0,795,1189.82,0,10,0,0,0.2,31.36,3.86,38.05,4.48,5.86,45.1,18.8,58.1,13.3,20.5,55.91,5.8
7055,6017030801,4011,El Dorado,10.3,74.8,14.9,8.8,84.7,0.4,0.8,2.4,2.9,95672,Rescue,7.29,No,0.055,8.69794377,0.614,206.51,0.18,13.18345046,284.91,9,0,0,2,0,22.46,2.77,19.39,5.85,4.7,4.7,2,16.4,8.5,8.5,25.4,2.63
6161,6073018612,3331,San Diego,13.1,77.2,9.7,36.3,46.2,6.1,0.5,7.1,3.8,92057,Oceanside,12.65,No,0.044,8.69794377,17.178,501.36,18930.87,39.87173664,461.46,0,3.5,0.01,6,1,38.96,4.8,30.87,3.74,5.84,13.1,1.7,22.1,6.9,11.8,25.42,2.64
3896,6037119310,3871,Los Angeles,13.6,73.3,13.1,68.9,11,4.2,0.1,14.5,1.3,91402,Panorama City,24.72,No,0.057,11.21,18.43,618.05,0,642.606483,699.71,0,0,0.01,0,0,36.69,4.52,48.29,3.92,5.26,32.3,14.8,50.3,17.1,18.9,52.74,5.47
6003,6037264103,2319,Los Angeles,5.6,82.6,11.8,5,78.1,1.5,0.2,11.2,3.9,90049,Los Angeles,13.54,No,0.046,12.05,38.73,588.45,0,1249.703135,513.25,1,7.5,0.135,0,0.5,45.31,5.58,14.77,3.33,4.99,2.2,2.1,20.9,10.7,23.9,23.39,2.43
2486,6001406500,5930,Alameda,15,76.9,8.1,44,8.5,19.7,0.5,24.5,2.9,94601,Oakland,34.76,No,0.03,8.69794377,38.37,70.6,0,342.1172625,598.83,2.45,18,0.025,11,0.2,35.09,4.32,88.63,6.97,7.36,34.5,21.7,54.3,13.7,26.5,77.53,8.04
5480,6073017049,2919,San Diego,13.3,77.3,9.4,19.2,63.2,1.8,0.3,11.1,4.4,92064,Poway,16.25,No,0.044,9.95548266,6.622,313.69,0,46.83232499,347.87,8.75,29.8,0.4,2,1,34.35,4.23,24.1,5.02,6.47,14.9,7.4,29.4,5.8,16.9,37.02,3.84
4696,6059011503,1727,Orange,8.4,71.6,20,14.7,63.2,1.4,0.1,17.8,2.8,92831,Fullerton,20.23,No,0.046,11.21,24.121,562.3,0,11267.78734,1200.41,0.8,1.5,0.12,0,0,44.67,5.5,50.57,3.26,8.78,6.7,1.5,14.3,11.3,11.9,35.45,3.68
616,6037433305,4893,Los Angeles,18.7,75.2,6.1,77.1,2.8,0.6,0.1,19.1,0.3,91732,El Monte,53.58,Yes,0.05,11.21,20.247,782.36,0,6739.429132,2504.68,18.65,10.35,0.045,1,1.25,57.8,7.12,67.93,4.22,8.58,38.2,33.4,62.6,14.2,44.5,72.56,7.53
2860,6001433700,3182,Alameda,14.1,78.6,7.3,45.6,22.6,11.3,0.8,15.3,4.5,94580,San Lorenzo,31.9,No,0.033,8.69794377,40.893,59.94,0,380.4053663,2214.28,9.4,30,0.025,1,0,37.78,4.65,81.68,6.71,9.8,22.6,11.2,29.8,7.9,15.7,66.1,6.86
6439,6037137302,4338,Los Angeles,9.5,66.2,24.3,7.7,78.5,1.8,0,7.8,4.1,91367,Woodland Hills,11.16,No,0.055,10.37,3.485,614.62,0.09,368.3687656,727.73,0,0.75,0,0,0,31.15,3.84,33.41,5.2,6.91,2,3.2,11.2,6.6,8.7,28.05,2.91
6001,6037403405,1631,Los Angeles,7.7,80.9,11.4,13.9,14.2,1,0.1,67.7,3,91789,Walnut,13.56,No,0.055,11.63,22.612,755.77,4.81,15099.57433,605.11,8,0.2,0.1,0,0.2,54.23,6.68,21.58,4.23,5.07,3.8,10,8.6,6.1,7,19.57,2.03
1647,6001437101,6448,Alameda,13.6,74.9,11.5,22.5,13.3,6.1,0.1,53.2,4.8,94587,Union City,42.05,Yes,0.033,8.69794377,15.047,391.69,0,766,1058.02,114.45,160.35,2.82,11,33,56.51,6.96,91.09,6.38,11.17,12.1,9.9,12.1,6.6,10.4,58.25,6.04
2513,6071003605,4223,San Bernardino,16.6,78.2,5.2,73.5,12.3,9.4,0.2,3,1.6,92316,Bloomington,34.56,No,0.065,12.89,25.47,725.11,0,2325.612739,380.75,0,0,0,0,0,42.03,5.18,45.14,5.64,8.36,26.6,11.5,47.4,13,23,64.37,6.68
4879,6071008800,6382,San Bernardino,15.1,75.6,9.3,32.5,62.8,0.9,0.5,1.1,2.2,92399,Yucaipa,19.24,No,0.068,9.1171234,6.228,178.04,0,232.4094417,457.83,6,0,0,0,1,27.17,3.35,41.98,5.71,11.17,12.6,3.1,39.9,9.4,16.1,55.44,5.75
2154,6071002604,5723,San Bernardino,17,79.3,3.7,74.7,12.3,7.8,0.2,3.6,1.4,92337,Fontana,37.26,No,0.065,13.73,14.677,876.6,0,5508.076454,337.18,6.5,0,0,0,2.5,48,5.91,44.71,5.2,10.47,24.2,6.2,35.2,11.7,22,60.77,6.3
6239,6085503003,5099,Santa Clara,13,73.3,13.7,21.2,61.2,0.8,0.4,12.5,3.9,95118,San Jose,12.24,No,0.038,10.37,20.167,479.23,0,84.88831585,744.07,0,9.75,0.05,3,0,32.92,4.05,40.12,4.3,7.17,6.2,2.3,6.9,6.6,13.8,29.11,3.02
92,6037575401,5155,Los Angeles,19.8,76.5,3.7,76.9,5.7,11.5,0.2,4.5,1.3,90813,Long Beach,67.2,Yes,0.042,11.21,29.12,220.01,1.43,14453.79426,820.59,0,57,1.2,19,2.5,60.22,7.42,116.32,6.19,11.4,54.2,24.9,79.1,14.2,23.7,87.35,9.06
5743,6075015300,2040,San Francisco,6.7,78.4,14.9,7.1,67.5,6.7,0.2,15.3,3.2,94115,San Francisco,14.88,No,0.03,8.69794377,67.68,171.2,0,223.741046,695.35,0,8.1,0.185,10,0,35.04,4.32,64.21,2.99,6.56,7,3.1,16.1,2.4,23.5,33.24,3.45
6145,6013360200,4626,Contra Costa,11.7,73.3,15,21.4,39.2,16.3,0.4,17.2,5.5,94803,El Sobrante,12.74,No,0.033,7.85958451,11.07,70.6,0,721.5188156,547.31,0,0,0.15,2,0,20.54,2.53,71.78,4.3,8.95,12,2.7,22.2,14.1,10.7,48.57,5.04
3449,6037900501,6764,Los Angeles,17.7,74.4,7.9,43.3,26.8,23.7,0.5,2.9,2.8,93535,Lancaster,27.67,No,0.062,6.18286598,8.074,352.39,0,9.401918567,697.1,0,5,0.035,0,1,26.17,3.22,124.01,7.68,15.19,26.2,8.5,60.3,12.9,19.9,82.75,8.58
6332,6065045120,4580,Riverside,13.7,70.1,16.2,51.2,43.9,1.9,0.2,1.2,1.5,92253,La Quinta,11.77,No,0.062,7.85958451,4.36,558.52,0,0.114173722,334.03,4,0,0,0,0,21.42,2.64,30.7,3.73,7.39,16,4.9,52.9,7.4,26.8,43,4.46
5131,6059011708,4317,Orange,9.1,83.5,7.4,27,49.5,3.6,0.2,16.8,2.9,92831,Fullerton,17.98,No,0.048,11.21,16.05,561.91,0,11563.99217,1815.94,2,2,0,0,0,42.61,5.25,27.12,3.14,5.68,4.7,8.1,39.1,7.2,29.6,33.04,3.43
48,6037543202,4867,Los Angeles,19.4,75.1,5.5,73.6,0.9,23.5,0,1.1,0.8,90220,Compton,70.82,Yes,0.042,12.05,35.92,444.22,0,6626.914092,1641.48,20.9,63.5,1.25,6,6.2,67.46,8.31,110.81,5.2,12.82,48.2,8,62.9,14.8,42,82.19,8.52
6309,6073009602,3775,San Diego,9.7,67.5,22.8,14.3,71.9,2.4,0.4,7.6,3.4,92120,San Diego,11.85,No,0.044,9.95548266,18.948,228.07,0.02,131.8352003,421.91,11,11,0.5,7,0.25,40.02,4.93,37.04,4.2,6.61,5,2.5,10.8,4.2,9.7,23.18,2.4
2340,6037480902,4218,Los Angeles,11.5,78.9,9.6,37,4.4,1,0.2,56.2,1.2,91803,Alhambra,35.87,No,0.05,11.63,22.7,862.36,0,5698.636148,972.89,20,117.2,0.2,0,0,58.61,7.22,33.26,4.6,6.01,23,27.9,47.4,3.7,27.9,47.91,4.97
2545,6065041406,5968,Riverside,16.1,79.4,4.5,44.4,31.9,8.6,0.3,11.9,2.9,92505,Riverside,34.24,No,0.062,12.89,30.088,960.39,0,3612.659659,1076.68,2.2,0,0.075,0,0,52.87,6.51,41.65,4.7,8.28,15.7,4.2,36,11,21.8,50.7,5.26
5482,6037265100,2489,Los Angeles,8.9,55.7,35.4,4.7,86,1.2,0,4.5,3.7,90024,Los Angeles,16.24,No,0.046,12.05,28.12,737.36,0,1382.730024,1235.91,11.5,3,0.57,0,0,53.22,6.55,11.93,1.68,5.64,3.2,6.4,19,9.6,22.8,23.89,2.48
1554,6037192520,5067,Los Angeles,14.1,79.5,6.4,75.5,4.8,1.1,0.1,17.5,1,90004,Los Angeles,42.89,Yes,0.048,12.89,36.19,664.07,0,2666.082196,2242.02,0.2,1.3,0.01,0,1,49.78,6.13,44.73,6.26,5.19,42.5,33.1,66.7,11.9,30.5,67.45,6.99
2195,6067005509,1910,Sacramento,13.2,83.2,3.6,28.8,32.8,19.3,0.7,12.1,6.3,95825,Sacramento,36.94,No,0.05,9.53630303,17.337,661.63,0,223.8562704,891.73,0.4,0,0,7,0,36.94,4.55,128.27,8.16,10.49,6.3,11.1,61.3,12.3,27.4,78.27,8.12
4422,6073003112,4574,San Diego,13.6,77.6,8.8,41.7,7.4,23.9,0.1,23.6,3.4,92114,San Diego,21.74,No,0.04,11.21,9.099,228.07,0,252.5349485,337.91,0.1,10,0,2,0,24.06,2.96,110.54,7.22,8.55,20.1,12.6,44.2,12.2,14.4,70.72,7.33
1799,6037123800,5531,Los Angeles,11.1,78,10.9,27,60.4,4.4,0.3,5.2,2.7,91606,North Hollywood,40.56,Yes,0.055,12.05,28.032,618.05,0,1173.276388,1842.38,6.5,3,0.01,4,0.2,53.23,6.56,39.61,5.69,7.92,12.3,8.1,37.7,14.6,32.2,59.66,6.19
5501,6111000303,5103,Ventura,16.6,74.2,9.2,70.3,26.6,0.3,0.3,1.3,1.3,93015,Fillmore,16.13,No,0.051,9.1171234,2.566,497.11,288.62,25.43832146,226.51,0,0.3,0,3,4,32.69,4.03,30.26,2.52,9.15,29.8,10,36.2,2.7,15.3,38.64,4.01
3212,6065043703,2585,Riverside,14,66.7,19.3,32.1,60.5,1.8,1.1,1.4,3.1,92544,Hemet,29.36,No,0.065,6.60204561,6.558,730.32,0.01,1080.315036,134.21,0,0,0,0,2,30.22,3.72,58.28,6.67,13.65,26.8,6.2,49.1,23,20.3,76.05,7.89
7044,6073002001,3354,San Diego,9.3,70.2,20.5,9.8,82.4,1.6,0.3,3.4,2.6,92116,San Diego,7.35,No,0.042,10.37,26.531,228.07,0,176.6648339,2172.16,2.2,1,0.125,8,0,40.4,4.98,31.4,3.77,4.86,3.5,0,8,6.2,6,14.25,1.48
5484,6007001702,5739,Butte,9.5,65.5,25,6.7,87.8,0.4,1,0.8,3.2,95954,Magalia,16.23,No,0.053,9.53630303,1.171,657.04,0,0.009665868,225.42,1.2,0,0,3,0,23.15,2.85,54.07,5.13,11.09,10,0.6,37.2,14.4,14.8,54.89,5.69
4978,6037910505,3064,Los Angeles,17.4,77.4,5.2,66.1,18.6,10.5,0.5,2.1,2.2,93550,Palmdale,18.78,No,0.062,6.18286598,8.874,243.83,0,5.712411804,679.78,0,0,0,0,0,19.47,2.4,106.26,5.32,13.06,28.8,16.8,53.7,5.8,31.9,75.52,7.83
2348,6019004215,4475,Fresno,17.9,76.2,5.9,35.3,40,7,0.4,14.3,3,93722,Fresno,35.81,No,0.06,14.99,21.116,681.2,0,3006.53838,594.31,0,13,0,1,0,46.75,5.76,93.23,6.12,11.4,9.7,5.4,23.2,10.2,8.5,59.96,6.22
6479,6097151700,6978,Sonoma,11.3,69.5,19.2,18,71.5,1.8,0.8,4.3,3.5,95405,Santa Rosa,10.88,No,0.03,6.18286598,13.169,327.91,0.1,73.70471732,633.29,0,60.5,0,4,0,26.46,3.26,38.48,3.85,5.55,7,5.7,28.4,9.6,12.6,32.19,3.34
1254,6019004504,4762,Fresno,12.3,70.1,17.6,36.8,49.2,5.6,0.5,5.6,2.4,93710,Fresno,45.71,Yes,0.062,15.4,39.49,812.26,0,2395.533631,649.29,29.7,3.75,0.01,1,0,55.76,6.87,72.21,7.69,6.47,21.1,5.3,54,13.8,15.9,64.17,6.66
2960,6037106407,2933,Los Angeles,16.5,67.2,16.3,76.2,14,6.4,0.1,2.5,0.8,91342,Sylmar,31.21,No,0.06,11.21,10.74,618.05,0,525.5165859,1481.91,0,0,0.01,0,0,37.36,4.6,64.44,4.97,8.17,35.4,15.7,62.1,5.5,34.9,65.41,6.78
5039,6041106001,4048,Marin,7.6,71.8,20.6,14.9,68,3.5,0.3,9.6,3.8,94903,San Rafael,18.43,No,0.03,7.02122524,10.457,215.14,0,302.2261432,3149.61,1.2,27,0.1,10,3,38.88,4.79,41.86,4.4,5.98,6.8,6.5,25.8,3.9,27.1,37.1,3.85
592,6037434003,4273,Los Angeles,17.5,75.4,7.1,85.8,4.1,0.2,0.1,9.3,0.4,91732,El Monte,53.9,Yes,0.048,12.05,32.03,728.04,57.05,8811.809042,961.83,27.15,5.5,0.05,5,2.5,69.21,8.52,39.21,6.22,5.33,56.9,28.1,65.9,8.8,19.1,60.97,6.32
3681,6065046401,3768,Riverside,13.8,77.9,8.3,37.8,55.1,1.9,0.2,2.6,2.4,92530,Lake Elsinore,26.16,No,0.055,9.1171234,0.785,1068.22,0,721.7882914,406.01,1,1.5,0,5,0,33.16,4.08,38.89,5.5,12.37,18.4,3.1,37.8,16.3,21,61.77,6.41
4872,6037700901,3856,Los Angeles,10.4,76.1,13.5,6.7,72.4,2.3,0,13.2,5.4,90035,Los Angeles,19.27,No,0.048,12.05,24.915,677.73,0,1680.012973,1414.67,2,11.75,0.06,0,0.2,50.25,6.19,25.55,4.53,5.32,3.7,9.8,20.7,6.3,19.4,30.01,3.11
2077,6037104201,4780,Los Angeles,17.8,76.5,5.7,89.8,1,8.1,0.1,0.1,0.8,91340,San Fernando,38.07,No,0.057,11.21,17.544,671.41,0,588.0127378,1602.18,7.55,4.8,0.405,0,1.4,52.81,6.5,51.26,4.53,4.77,45.8,9.3,48.7,12.5,32.4,56.43,5.85
3418,6057000502,4664,Nevada,10.9,69.8,19.3,8.4,85.9,0.2,1.2,1.7,2.7,95945,Grass Valley,27.84,No,0.057,5.34450672,2.658,338.7,0.21,0.037038388,358.25,69.35,20.8,0.35,1,4.2,38.33,4.72,81.32,3.78,11.57,7.9,3.7,45.2,9.7,21.6,56.87,5.9
6485,6037920303,1446,Los Angeles,11,82,7,16.9,55.5,3.9,0.5,18.9,4.3,91311,Chatsworth,10.79,No,0.057,9.95548266,5.003,749.8,0,80.9710474,1736.26,6,10,0.01,13,4,49.9,6.15,27.74,2.97,5.73,2.1,2.4,18,3.5,15.2,16.93,1.76
5714,6073018803,4564,San Diego,10.4,68.2,21.4,22.3,70.2,1.2,0.5,3.2,2.5,92003,Bonsall,15.05,No,0.046,8.69794377,7.538,182.36,1472.83,30.65469207,820.23,0,2.5,0.1,6,0,35.01,4.31,35.77,5.19,6.17,7.5,1,16.5,7.7,17.5,33.64,3.49
3776,6069000501,5395,San Benito,14.8,79.2,6,46.2,47,0.7,0.5,3,2.6,95023,Hollister,25.6,No,0.04,4.50614746,16.276,543.44,179.22,5.097494651,300.81,21.7,0,0.31,6,0.5,38.06,4.69,59.85,5.57,11.55,20.7,1,18.8,7.3,13.9,52.65,5.46
3822,6037481101,3814,Los Angeles,9.5,75,15.5,35.8,11.5,2.5,0.2,47.9,2.1,91776,San Gabriel,25.19,No,0.051,11.21,22.33,789.02,0,4718.417189,727.82,18,74.55,0.05,0,3.5,58.21,7.17,21.62,3.78,5.21,10,22.1,41.4,4.8,20.8,33.88,3.51
3138,6001435700,4594,Alameda,14.5,74.5,11,45,27,7.3,0.2,17.6,2.9,94580,San Lorenzo,29.93,No,0.033,8.69794377,47.26,60.06,0,395.3043597,3392.71,4.5,13,0.05,1,0,36.31,4.47,71.56,5.95,9.09,23.5,7.4,22.6,14.1,18.2,64.54,6.69
1320,6037602004,4126,Los Angeles,16.4,77.3,6.3,73.2,0.8,23.6,0,1.7,0.7,90303,Inglewood,45.18,Yes,0.044,12.05,18.08,290.05,0.12,4907.106907,688.21,1,0.75,0.01,7,0,41.06,5.06,104.23,7.17,12.19,52.7,14,53.2,10.6,39.7,86.13,8.93
2714,6055200203,2497,Napa,16.1,76.5,7.4,57.4,38.9,0.2,0.5,1.1,1.9,94559,Napa,32.99,No,0.035,7.85958451,13.225,594.02,0,913.3160015,440.73,13,66.6,0.06,3,2.2,40.43,4.98,87.84,4.78,9.68,20.3,12,31.7,12.2,17.5,63.89,6.63
2439,6073016617,3102,San Diego,11.9,66.3,21.8,19.1,71,2.3,0.7,3.8,3.1,92071,Santee,35.02,No,0.044,11.21,22.505,316.87,0,108.5414283,753.6,7.7,31,0.25,4,2,47.64,5.87,38.81,5.7,7.98,13.3,8.2,37.6,12,26.5,57.56,5.97
319,6037402501,5577,Los Angeles,20.9,74.8,4.3,91.2,2.9,2.7,0.5,1.9,0.7,91766,Pomona,58.73,Yes,0.057,12.89,23.049,718.46,0,9342.454665,505.86,39.5,30,0.21,0,0,58.97,7.26,70.31,4.85,10.29,52.5,20.5,73.7,12.1,33.5,77.97,8.09
2419,6007003002,3531,Butte,14.8,75.6,9.6,12.8,59.9,3.4,4,13.5,6.3,95965,Oroville,35.18,No,0.051,8.27876414,5.286,316.43,0,0.005955663,305,74.6,34.5,0.41,6,18,42.11,5.19,86.45,3.64,12.82,31.8,0.6,69.3,17.2,19.7,65.41,6.78
6887,6059075603,3790,Orange,13.4,71.6,15,18.9,70.7,0.6,0.1,7,2.5,92780,Tustin,8.39,No,0.048,10.37,8.038,356.83,0.09,34240.27578,734.74,2,17,0,0,0,39.12,4.82,27.23,3.92,5.07,3.6,1,9.5,5,14.7,16.78,1.74
5025,6067007414,4317,Sacramento,18.1,75.8,6.1,24.9,52.7,10.5,0.6,5.8,5.5,95660,North Highlands,18.51,No,0.051,9.1171234,12.337,351.13,0,71.94660498,706.58,4,3.75,0,0,0,27.88,3.43,77.25,3.06,8.33,17.2,10.7,45.2,6.2,21.6,51.98,5.39
3441,6025012302,4756,Imperial,17.4,68.3,14.3,65.7,28.7,1.7,1.2,1.1,1.6,92274,Thermal,27.72,No,0.053,7.12096238,1.175,296.69,498.91,1.75319686,305.6,4.6,2,0.1,9,0,33.33,4.11,38.31,4.77,8.35,39.4,12.5,76.2,23.3,22.3,65.1,6.75
5990,6013359204,4702,Contra Costa,8.7,78.7,12.6,15.5,14.5,15.2,0.2,50.7,3.9,94547,Hercules,13.6,No,0.033,7.85958451,10.506,70.6,0,803.4997215,1416.37,7.5,3.75,0,10,0,30.24,3.72,56.24,3.72,8.08,8.7,8,8.6,4.9,12.2,35.22,3.65
4355,6001442302,4788,Alameda,15.6,74.1,10.3,21.2,24.1,8,0.4,40.4,5.9,94538,Fremont,22.17,No,0.035,9.53630303,37.65,83.53,0,131.1383382,497.56,20.5,26,0,0,0,31.36,3.86,50.58,5.61,8.29,8,17.7,25.6,11.1,15.9,55.35,5.74
6893,6059099238,4031,Orange,10.8,68.9,20.3,8.9,70.4,0.5,0.3,16.9,2.9,92646,Huntington Beach,8.33,No,0.044,10.37,11.572,238.5,0.28,6417.294556,564.16,0,2.2,0,0,0,29.8,3.67,29.26,4.35,5.74,4.2,5,15,5.7,4,21.9,2.27
5553,6013324002,5141,Contra Costa,9.6,76.1,14.3,16.8,60.9,3.6,0.1,14.7,3.9,94523,Pleasant Hill,15.83,No,0.038,7.85958451,20.872,76.79,0,835.5270063,1919.4,4.5,35,0,2,0,34.99,4.31,42.98,5.15,6.08,4.6,8.5,14,5.1,16.5,35.42,3.67
5813,6083001901,7805,Santa Barbara,13.4,74.1,12.5,33.3,61,0.6,0.6,2.4,2.1,93455,Santa Maria,14.53,No,0.038,4.50614746,0.693,733.9,79.67,4.436084683,295.75,0,26.1,0,3,18.75,33.98,4.19,25.08,4.51,6.85,12.2,4.1,32.1,5,17.2,33.47,3.47
2541,6073016000,2419,San Diego,11.5,75.9,12.6,24.9,62.5,3.6,0.2,4.1,4.8,92020,El Cajon,34.25,No,0.044,11.21,11.07,314.14,0,122.754498,1594.4,21.6,29,0.5,4,5,51.39,6.33,49.08,7.94,8.03,9.7,2,24.4,12.8,12.2,52.18,5.41
4897,6059110007,4799,Orange,10.4,72.2,17.4,11.3,77.3,0.4,0.3,7.8,3,90720,Los Alamitos,19.15,No,0.044,11.21,17.519,258.98,1.99,8052.552629,3940.83,8.5,5.5,0.05,19,1.3,56.8,7,29.51,6.4,7.03,2.3,0.7,6.3,4.1,5.6,26.39,2.74
2829,6099002901,4764,Stanislaus,13.1,73.2,13.7,27.9,68.2,0.3,0.9,1.2,1.4,95316,Denair,32.16,No,0.057,12.89,3.619,914.52,2893.05,378.5952766,122.55,2.5,16.75,0.1,7,1,56.54,6.96,30.34,5.11,8.06,20.6,8.8,35.6,8.8,8.4,44.52,4.62
3915,6059075902,6548,Orange,11.4,78,10.6,40.8,50.7,1.3,0.2,4.6,2.4,92866,Orange,24.59,No,0.048,10.37,17.54,556.14,0,85264.8142,1626.64,2,8.5,0.245,0,0,48.09,5.92,35.25,4.74,5.47,12.1,9.3,31.9,6.9,20.8,40.03,4.15
